Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
1211,618871,4L PS from Near Guddehosur to Start of Kushalnagara Bypass to near Hemmige Village Periyapatna - Hassan Road Jn from Km. 122.200 to Km. 144.900 of NH-275 Pkg. II,National Highways Authority of India [NHAI],Karnataka,02/2023,12/2025,12/2027,12/2027,909.86,896.42,32.64,7.18,Aviation & Aviation Infrastructure
1212,618872,4L PS from near Hunsur - KR Nagar Junction to near Yalachahalli village KR Nagara - Yelawala Road Junction fcrom Km 169.000 to Km 195.550 of NH-275 Pkg-IV,National Highways Authority of India [NHAI],Karnataka,02/2023,04/2025,04/2027,09/2027,1062.76,952.03,93.08,14.85,Aviation & Aviation Infrastructure
1213,618873,4L PS from near Yalachahalli village KR Nagara - Yelawala Road junction to Srirangapatna Bypass Near Paschima Vahini from km 195.550 to Km 214.535 of NH- 275 Pkg-V,National Highways Authority of India [NHAI],Karnataka,01/2023,04/2025,04/2027,10/2027,1272.71,1203.2,97.43,13.05,Aviation & Aviation Infrastructure
1214,618887,4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH-206 Tumkur- Shivamogga Pkg-IV,National Highways Authority of India [NHAI],Karnataka,01/2019,10/2021,10/2023,03/2027,2082.98,2545.11,865.7,82.88,Aviation & Aviation Infrastructure
1215,618896,4L of Sannur to Bikarnakatte section from Km 691.350 to Km 736.362 of NH-169 Karkala - Mangalore Package-III,National Highways Authority of India [NHAI],Karnataka,03/2021,10/2022,10/2024,04/2027,1386.41,2038.71,973.31,70.22,Aviation & Aviation Infrastructure
1216,619070,Tumkur-Chitradurga,National Highways Authority of India [NHAI],Karnataka,04/2010,06/2011,12/2013,06/2026,839.0,47.44,8.42,100.0,Aviation & Aviation Infrastructure
1217,619071,Tumkur - Nelamangala 6L,National Highways Authority of India [NHAI],Karnataka,03/2021,08/2022,08/2025,03/2027,2032.15,1664.2,580.01,59.83,Aviation & Aviation Infrastructure
1218,619072,Bangalore/TN border to Hoskote,National Highways Authority of India [NHAI],Karnataka,02/2022,02/2023,02/2025,08/2026,1181.68,1297.76,799.84,94.72,Aviation & Aviation Infrastructure
1219,619073,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],National Highways Authority of India [NHAI],Karnataka,02/2020,02/2021,02/2023,06/2026,1317.74,1846.52,1026.9,99.2,Aviation & Aviation Infrastructure
1220,619096,Goa / Karnataka Km.93.700 to Kundapur Km.283.30,National Highways Authority of India [NHAI],Karnataka,07/2012,03/2014,08/2016,07/2026,1644.92,1990.99,329.44,97.8,Aviation & Aviation Infrastructure
1221,619106,4 Lane with PS from Des. Ch 182.300 to Des. Ch. 228.500 of Belgaum-Hungund- Raichur Section of NH 748 A Package-5,National Highways Authority of India [NHAI],Karnataka,03/2023,11/2024,11/2026,07/2027,1141.88,868.65,214.81,33.04,Aviation & Aviation Infrastructure
1222,619107,4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund- Raichur Section of NH-748A Package-4,National Highways Authority of India [NHAI],Karnataka,02/2024,09/2025,09/2027,03/2028,1311.41,1123.35,46.41,8.88,Aviation & Aviation Infrastructure
1223,619108,4 Lane with PS from Des. Ch 0.000 to Des. Ch. 43.800 of Belgaum-Hungund-Raichur Section of NH-748A Package-1,National Highways Authority of India [NHAI],Karnataka,02/2024,06/2025,06/2027,09/2027,1452.43,1256.55,206.99,32.57,Aviation & Aviation Infrastructure
1224,619117,Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,National Highways Authority of India [NHAI],Karnataka,12/2015,03/2017,03/2019,05/2026,1021.57,1091.4,697.83,97.8,Aviation & Aviation Infrastructure
1225,619120,Nidagatta-Mysore Pkg II,National Highways Authority of India [NHAI],Karnataka,02/2018,12/2019,06/2022,06/2026,2919.8,4113.89,2279.05,99.19,Aviation & Aviation Infrastructure
1226,619121,4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571,National Highways Authority of India [NHAI],Karnataka,07/2016,03/2017,03/2020,05/2026,2531.99,3619.32,1360.9,99.65,Aviation & Aviation Infrastructure
1227,619138,Yekkambi-Haveri,National Highways Authority of India [NHAI],Karnataka,09/2021,03/2022,03/2024,06/2027,309.9,309.9,82.28,21.12,Aviation & Aviation Infrastructure
1228,619144,Hospet - Chitradurga from km. 299.00 to km. 418.750,National Highways Authority of India [NHAI],Karnataka,03/2015,02/2016,08/2018,06/2026,1519.72,387.48,36.36,100.0,Aviation & Aviation Infrastructure
1229,619150,BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,National Highways Authority of India [NHAI],Karnataka,04/2016,08/2017,08/2019,05/2026,2082.69,2859.93,730.43,99.7,Aviation & Aviation Infrastructure
1230,619164,Belgaum-Khanapur Pkg I Km 0.000-Km 30.800 of NH-4A,National Highways Authority of India [NHAI],Karnataka,03/2018,03/2019,09/2021,03/2027,1214.3,1195.74,497.43,72.77,Aviation & Aviation Infrastructure
1231,619211,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 97.000 to Km. 162.500 in Yadgir of NH-150C Pkg-III,National Highways Authority of India [NHAI],Karnataka,03/2022,04/2023,10/2025,09/2026,2104.7,2065.83,779.81,73.9,Aviation & Aviation Infrastructure
1232,619214,4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli - Hassan section,National Highways Authority of India [NHAI],Karnataka,04/2020,01/2021,01/2023,06/2026,688.0,684.54,586.06,82.34,Aviation & Aviation Infrastructure
1233,619218,4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km. 12.300 to Km. 65.195,National Highways Authority of India [NHAI],Karnataka,02/2018,10/2019,10/2021,06/2026,1364.14,1692.12,552.09,100.0,Aviation & Aviation Infrastructure
1234,619219,4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of NH-206,National Highways Authority of India [NHAI],Karnataka,02/2018,10/2019,10/2021,12/2026,1505.85,1989.89,656.52,99.97,Aviation & Aviation Infrastructure
1235,619220,Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of Old NH-206,National Highways Authority of India [NHAI],Karnataka,02/2018,03/2021,03/2023,12/2026,1444.5,1834.81,890.55,97.3,Aviation & Aviation Infrastructure
1236,618070,Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO Annual Plan 2016-17 in the state of Kerala,MoRTH,Kerala,02/2017,08/2017,08/2019,04/2026,294.28,315.63,0.0,98.0,Aviation & Aviation Infrastructure
1237,618595,6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468,National Highways Authority of India [NHAI],Kerala,06/2020,10/2021,04/2024,03/2027,1746.45,2538.06,943.25,90.18,Aviation & Aviation Infrastructure
1238,618596,6L of Taliparamba to Muzhappilangad from Km 134.650 to Km 170.6 of NH-66,National Highways Authority of India [NHAI],Kerala,08/2020,11/2021,05/2024,12/2027,2714.6,3557.65,1040.02,82.87,Aviation & Aviation Infrastructure
1239,618597,6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66,National Highways Authority of India [NHAI],Kerala,10/2020,10/2021,07/2024,05/2027,3205.77,3898.46,776.8,60.07,Aviation & Aviation Infrastructure
1240,618598,6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895 and allied works,National Highways Authority of India [NHAI],Kerala,03/2020,12/2020,06/2022,05/2026,210.0,216.94,77.9,100.0,Aviation & Aviation Infrastructure
1241,618599,6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66,National Highways Authority of India [NHAI],Kerala,01/2021,01/2022,07/2024,05/2026,4924.11,4919.46,1815.81,99.75,Aviation & Aviation Infrastructure
1242,618600,6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850,National Highways Authority of India [NHAI],Kerala,02/2021,01/2022,07/2024,05/2026,4023.94,4023.94,1497.69,98.84,Aviation & Aviation Infrastructure
1243,618601,6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 of NH - 66 old NH-17,National Highways Authority of India [NHAI],Kerala,06/2021,09/2022,01/2025,06/2026,4225.59,4225.59,708.02,88.2,Aviation & Aviation Infrastructure
1244,618602,6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old NH-17,National Highways Authority of India [NHAI],Kerala,06/2021,09/2022,02/2025,06/2026,4302.06,4302.06,772.89,84.18,Aviation & Aviation Infrastructure
1245,618603,6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old NH-17,National Highways Authority of India [NHAI],Kerala,11/2021,10/2022,04/2025,12/2026,3465.82,3606.2,768.14,64.93,Aviation & Aviation Infrastructure
1246,618604,Aroor-Thuravoor Thekku,National Highways Authority of India [NHAI],Kerala,08/2022,02/2023,01/2026,12/2026,2429.52,2382.83,1760.92,83.93,Aviation & Aviation Infrastructure
1247,618605,Thuravoor Thekku-Paravoor,National Highways Authority of India [NHAI],Kerala,09/2021,03/2022,09/2024,12/2026,2878.97,2638.67,2120.87,78.28,Aviation & Aviation Infrastructure
1248,618606,Paravoor-Kottankulangara,National Highways Authority of India [NHAI],Kerala,12/2021,08/2022,02/2025,03/2027,3273.61,3200.24,1226.55,71.2,Aviation & Aviation Infrastructure
1249,618607,Kottankulangara- Start of Kollam Bypass,National Highways Authority of India [NHAI],Kerala,06/2021,04/2022,10/2024,03/2027,2842.14,3680.49,895.86,73.89,Aviation & Aviation Infrastructure
1250,618708,Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to 2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana,National Highways Authority of India [NHAI],Kerala,09/2022,06/2023,06/2025,05/2026,1187.47,1265.47,631.69,52.71,Aviation & Aviation Infrastructure
1251,619098,Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.,National Highways Authority of India [NHAI],Kerala,02/2018,02/2021,02/2023,05/2026,1424.77,2139.18,1048.92,98.75,Aviation & Aviation Infrastructure
1252,619206,6L of Perole Nileshwar town to Taliparamba from Km 94.248 to Km 134.650 of NH-66,National Highways Authority of India [NHAI],Kerala,06/2020,10/2021,01/2024,03/2027,3041.65,3867.66,1007.02,86.65,Aviation & Aviation Infrastructure
1253,619207,Start of Kollam Bypass - Kadambattukonam,National Highways Authority of India [NHAI],Kerala,06/2021,10/2022,03/2025,06/2026,2641.37,3309.06,891.4,81.8,Aviation & Aviation Infrastructure
1254,619208,Kadambattukonam-Kazhakuttom,National Highways Authority of India [NHAI],Kerala,12/2021,07/2022,01/2025,12/2026,3635.64,3526.33,573.31,44.34,Aviation & Aviation Infrastructure
1255,618408,Kargil Zanskar Road,NHIDCL,Ladakh,03/2021,07/2021,01/2023,07/2026,398.37,398.37,282.19,90.59,Aviation & Aviation Infrastructure
1256,618409,Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of 30.000 Km length Pkg-lll,NHIDCL,Ladakh,03/2021,07/2021,01/2023,07/2026,381.01,381.01,221.62,82.74,Aviation & Aviation Infrastructure
1257,618410,Widening & Up-gradation to 2 lane with paved shoulder of NH-301 Kargil- Zanskar Road from Design Km .30.040 Ex. Km. 30.000 to Design Km 57.000 Ex. Km. 57.905 of 26.960 Km length Pkg-II,NHIDCL,Ladakh,03/2021,07/2021,01/2023,10/2026,404.89,404.89,321.28,75.38,Aviation & Aviation Infrastructure
1258,617909,Construction of Rewa Bypass to 4-lane with paved shoulder along with service road from Ratahara Chowk to Chorhata Chowk Road section of NH-30 from km 00.000 to 19.200 in the State of Madhya Pradesh on Hybrid Annuity Mode HAM.,MoRTH,Madhya Pradesh,03/2024,02/2025,02/2027,02/2027,648.05,648.05,0.0,50.0,Aviation & Aviation Infrastructure
1259,617911,Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km. 68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass on EPC mode under NHDP-IVA,MoRTH,Madhya Pradesh,03/2015,08/2015,07/2017,06/2026,511.83,613.16,0.0,94.5,Aviation & Aviation Infrastructure
1260,617914,Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,03/2022,01/2024,12/2025,06/2027,241.23,250.09,0.0,29.09,Aviation & Aviation Infrastructure
1261,617915,Upgradation of Dindori-Sagartola-kabichabutra MP-CG border section of NH -45 from km 000Design to km 77.00 Design to Two lane with paved shoulder configration along with one time improvement in 04 nos. of bypaased built-up areas in a total length of 9.1 km in the state of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,01/2022,09/2023,09/2025,05/2026,329.14,319.09,0.0,93.68,Aviation & Aviation Infrastructure
1262,618019,Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,MoRTH,Madhya Pradesh,03/2022,05/2023,05/2025,06/2026,365.21,365.21,0.0,88.0,Aviation & Aviation Infrastructure
1263,618020,Rehabilitation & Upgradation of KurwaiMungaoliChanderi Road section of NH-346 from Design Chainge 0.000 to 81.300 Km Total length 83.1 km to Two lane with paved shoulder configuration along with One time improvement in 07 nos of bypassed built- up areas in a total length of 22.615 km in the state of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,03/2022,02/2023,02/2025,06/2026,386.49,386.49,164.43,64.71,Aviation & Aviation Infrastructure
1264,618021,Up-gradation of Pichhore- Dinara section of NH-346 from Km 292.750 to 334.550 to two lane with paved shoulders in the state of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,02/2024,12/2025,06/2027,06/2027,425.97,425.97,0.0,19.31,Aviation & Aviation Infrastructure
1265,618035,Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length 42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya Pradesh on EPCmode.,MoRTH,Madhya Pradesh,03/2023,11/2024,05/2026,12/2026,275.4,275.4,0.0,53.0,Aviation & Aviation Infrastructure
1266,618036,Upgradation and reconstruction of existing intermediate lane to two Lane with paved shoulder configuration from km. 43.00 Barna River to km. 77.00 ken river length 34.00 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. along with One time improvement in 01 no. of bypassed built-up area in a total length of 1.585 km in the state of Madhya Pradesh on EPCmode.,MoRTH,Madhya Pradesh,03/2023,11/2024,11/2026,11/2026,315.55,315.55,0.0,25.3,Aviation & Aviation Infrastructure
1267,618043,Upgradation and reconstruction of Dindori - Mandla Section of NH 543 from Km 77100 Design to Km 170580 Design Total length 93.48km to Two lane with paved shoulder configuration along with One time improvement in 04 nos of bypassed built-up areas in a total length of 7.23 km in the state of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,03/2022,01/2024,07/2026,07/2026,492.12,523.71,0.0,87.5,Aviation & Aviation Infrastructure
1268,618044,Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh,MoRTH,Madhya Pradesh,02/2024,03/2026,03/2028,-,851.4,851.4,0.0,0.0,Aviation & Aviation Infrastructure
1269,618045,Construction of Mihona bypass Lahar bypass Daboh bypass & Bhander Bypass total length 20.60 km to 2-lane with paved shoulder from on Mihona-Bhander-MP/UP border section of NH 552E in the State of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,03/2022,06/2023,12/2024,-,179.18,179.18,71.77,67.0,Aviation & Aviation Infrastructure
1270,618068,Construction of Kaithi-Padaria Kala bypass Patna-Tamoli bypass Jaso bypass and Nagod bypass total length 15.44 Km to 2-lane with paved shoulders flexible pavement on NH-943 in the State of Madhya Pradesh on EPC Mode.,MoRTH,Madhya Pradesh,03/2022,10/2023,10/2025,12/2026,158.36,158.36,0.0,60.0,Aviation & Aviation Infrastructure
1271,618085,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,12/2021,04/2023,10/2024,06/2026,305.12,293.74,0.0,78.0,Aviation & Aviation Infrastructure
1272,618129,Construction of Kasrawad bypass Selani bypass Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,03/2023,12/2024,12/2026,12/2026,467.93,467.93,0.0,86.03,Aviation & Aviation Infrastructure
1273,618156,Construction of Morena bypass Ambah bypass & Porsa bypass Totat length 27.16 km Section of NH-552 Ext. to TWo lane with paved shoulder configuration in the state of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,02/2023,10/2024,10/2026,10/2026,492.66,492.66,0.0,69.25,Aviation & Aviation Infrastructure
1274,618157,Construction of Ater realignment & Bhind bypass Total length. 21.50 km Section of NH-552Extn. to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,03/2023,12/2024,06/2026,12/2026,348.06,348.06,0.0,68.41,Aviation & Aviation Infrastructure
1275,618158,Upgradation of Goras to Shyampur Road section of NH-552 Ext. from Design Chainge 48.400 to 111.800 Km Total length 63.40 km to two lane with paved shoulder configuration along with One time improvement of 8.91 km in the state of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,03/2023,12/2024,12/2026,12/2026,416.96,416.96,0.0,13.11,Aviation & Aviation Infrastructure
1276,618170,Construction of Two lane with paved shoulder configuration of Shujalpur Bypass section of NH-752C from km 33100 Design to km. 42570 Design total design length 10.470 km in the State of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,03/2023,03/2024,09/2025,12/2026,214.07,214.07,0.0,40.3,Aviation & Aviation Infrastructure
1277,618171,Work of Upgradation of Jirapur-Pachore Road including Pachore Jirapur Chhapiheda & Khujner Bypasses from 0000 to 58790 Design Length 58.79 Km section of NH-752C to 2LPS in the State of Madhya Pradesh under EPC mode,MoRTH,Madhya Pradesh,03/2022,01/2024,01/2026,10/2026,352.69,352.69,0.0,47.29,Aviation & Aviation Infrastructure
