Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
167,602582,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,10/2020,05/2021,11/2025,03/2027,687.97,1561.21,1107.31,77.51,Aviation & Aviation Infrastructure
168,602593,Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,11/2020,11/2020,01/2026,02/2030,1810.56,4681.64,1924.48,51.32,Aviation & Aviation Infrastructure
169,611586,Sunni Dam Hydro Electric Project [382 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,01/2023,01/2023,04/2028,12/2029,2614.51,4925.87,1083.85,33.98,Aviation & Aviation Infrastructure
170,602525,Pakal Dul [Drangdhuran] Hydroelectric Project 1000 MW,National Hydroelectric Power Corporation Limited [NHPC],Jammu and Kashmir,10/2014,02/2018,04/2020,12/2026,8112.12,12728.0,9114.12,80.5,Aviation & Aviation Infrastructure
171,602532,Kiru HE Project,National Hydroelectric Power Corporation Limited [NHPC],Jammu and Kashmir,03/2019,02/2020,09/2023,12/2026,4287.59,5409.0,3733.26,83.46,Aviation & Aviation Infrastructure
172,602535,Ratle HE Project - 850 MW Ratle Hydroelectric Power Corporation Limited.,National Hydroelectric Power Corporation Limited [NHPC],Jammu and Kashmir,02/2021,01/2022,02/2026,11/2028,5281.94,5281.94,1566.39,29.85,Aviation & Aviation Infrastructure
173,605155,Kwar HE Project,National Hydroelectric Power Corporation Limited [NHPC],Jammu and Kashmir,05/2022,11/2022,11/2026,03/2028,4526.12,4526.12,1569.55,34.21,Aviation & Aviation Infrastructure
174,400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],National Thermal Power Corporation [NTPC],Jharkhand,11/2017,11/2017,03/2023,02/2027,18668.0,20302.0,18690.0,88.74,Aviation & Aviation Infrastructure
175,611509,Koderma Thermal Power Station Phase II [2X800 MW] At Koderma Jharkhand,Damodar Valley Corporation,Jharkhand,04/2023,11/2024,03/2029,-,14358.0,14358.0,1890.03,11.0,Aviation & Aviation Infrastructure
176,618976,Gadarwara Super Thermal Power Project Stage-II [2x800 MW],National Thermal Power Corporation [NTPC],Madhya Pradesh,11/2024,05/2025,03/2030,-,20446.0,20446.0,1721.18,7.5,Aviation & Aviation Infrastructure
177,602096,Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],Multi-States (Arunachal Pradesh Assam),09/2003,01/2005,09/2010,05/2026,6285.33,26075.5,26150.32,97.64,Aviation & Aviation Infrastructure
178,602961,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,National Thermal Power Corporation [NTPC],Odisha,08/2022,09/2022,05/2027,03/2028,11843.75,12543.0,6454.35,50.2,Aviation & Aviation Infrastructure
179,619056,Darlipali Super Thermal Power Project Stage-II [1x800 MW],National Thermal Power Corporation [NTPC],Odisha,11/2025,11/2025,01/2031,-,11131.0,11131.0,460.85,1.95,Aviation & Aviation Infrastructure
180,602181,TEESTA-VI HE PROJECT SIKKIM [500 MW] executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT],National Hydroelectric Power Corporation Limited [NHPC],Sikkim,03/2019,03/2020,03/2024,12/2027,5748.04,5748.04,4356.15,72.51,Aviation & Aviation Infrastructure
181,605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Hydroelectric Power Corporation Limited [NHPC],Sikkim,03/2021,08/2021,05/2024,12/2025,938.29,1828.11,1625.93,96.53,Aviation & Aviation Infrastructure
182,612142,Singrauli Super Thermal Power Project Stage-III [2x800 MW],National Thermal Power Corporation [NTPC],Uttar Pradesh,03/2024,03/2024,02/2030,-,17195.0,17195.0,3306.21,19.8,Aviation & Aviation Infrastructure
183,602185,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],Uttarakhand,11/2006,11/2006,03/2013,04/2029,2978.0,10907.3,7715.24,77.0,Aviation & Aviation Infrastructure
184,602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,Uttarakhand,08/2008,01/2014,12/2022,09/2027,3860.35,6405.08,5429.35,80.0,Aviation & Aviation Infrastructure
185,400062,Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur Purulia West Bengal,Damodar Valley Corporation,West Bengal,01/2023,02/2025,06/2029,-,17673.0,17673.0,1950.25,9.4,Aviation & Aviation Infrastructure
186,602184,Rammam-III HEPP [3x40 MW],National Thermal Power Corporation [NTPC],West Bengal,09/2014,09/2014,09/2019,03/2029,1381.84,2865.56,1568.56,55.06,Aviation & Aviation Infrastructure
187,602538,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,Damodar Valley Corporation,West Bengal,06/2019,02/2021,01/2024,05/2026,1037.0,1106.0,1133.78,96.0,Aviation & Aviation Infrastructure
188,611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,09/2023,09/2023,09/2025,05/2026,823.0,823.0,798.31,98.34,Aviation & Aviation Infrastructure
189,617183,Transmission system strengthening at Kurnool- III PS for integration of additional RE generation projects [POWERGRID Kurnool III PS RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,03/2025,03/2025,12/2027,-,2886.0,2886.0,721.48,26.19,Aviation & Aviation Infrastructure
190,617375,North Eastern Region Expansion Scheme-XXIII [NERES-XXIII],Power Grid Corporation of India Limited [POWERGRID],Arunachal Pradesh,08/2025,08/2025,02/2028,-,209.38,209.38,3.14,1.5,Aviation & Aviation Infrastructure
191,615336,Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under phase-III Part-D Phase-II,Power Grid Corporation of India Limited [POWERGRID],Delhi,11/2023,10/2024,02/2026,12/2026,284.0,284.0,22.72,7.75,Aviation & Aviation Infrastructure
192,612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,12/2023,12/2023,12/2025,12/2026,4231.0,4231.0,2538.6,62.0,Aviation & Aviation Infrastructure
