Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
1002,N24001335,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER / 4-LANING FROM (DESIGN KM 63.530 TO KM 71.520) B,NHIDCL,LADAKH,11-2020,12/2023,-,284.21,-,101.98,24.00,"OF HIGHER
EDUCATION"
1003,N24001339,RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-4 (KANAI-RONGARA),NHIDCL,LADAKH,10-2020,4/2022,Jun-2024,157.86,146.92,152.95,100.00,"OF HIGHER
EDUCATION"
1004,N24001441,REHABILITATION AND UPGRADATION OF NONGSTOIN TO WAHKAJI SECTION OF PROJECT ROAD KM 0.000 TO KM 43.06,MoRTH,LADAKH,8-2020,2/2022,-,302.88,-,228.68,96.00,"OF HIGHER
EDUCATION"
1005,N24001474,REHABITITATION AND UP GRADATION OF NONGSTOIN-RAMBRAI-KYRSHAI ROAD UP TO MEGHALAYA-ASSAM BORDER FROM,NHIDCL,LADAKH,9-2021,5/2024,Dec-2024,359.86,-,233.26,87.00,"OF HIGHER
EDUCATION"
1006,N24001541,RANIKOR- MAHESHKHOLA- BAGHMARA PKG- 2,NHIDCL,LADAKH,11-2021,6/2024,Dec-2024,283.50,-,257.26,100.00,"OF HIGHER
EDUCATION"
1007,N24002156,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM,NHIDCL,LADAKH,3-2023,9/2026,-,620.30,-,221.86,28.00,"OF HIGHER
EDUCATION"
1008,N24002157,SHILLONG WESTERN BYPASS PACKAGE-2,NHIDCL,LADAKH,3-2023,9/2026,-,686.00,-,292.69,25.52,"OF HIGHER
EDUCATION"
1009,N24002158,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU,NHIDCL,LADAKH,3-2023,9/2026,-,562.48,-,297.79,24.00,"OF HIGHER
EDUCATION"
1010,N24002233,DAINADUBI-DARUGIRI PKG-1B,NHIDCL,LADAKH,3-2023,3/2027,-,705.83,-,0.31,1.55,"OF HIGHER
EDUCATION"
1011,N24002239,IMPROVEMENT AND WIDENING TWO LANNIG WITH PAVED SHOULDER OF NATIONAL HIGHWAY 127B FROM KM 31.500 (GOE,MoRTH,LADAKH,12-2023,5/2027,-,504.00,-,0.00,N.A.,"OF HIGHER
EDUCATION"
1012,N22000100,"BHAIRABI SAIRONG, NL, NEFR",NFR,LADAKH,4-2008,3/2025,-,"6,527.45","5,021.45","8,001.88",97.00,RAILWAYS
1013,N24000857,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,4/2023,-,519.09,-,670.91,97.51,RAILWAYS
1014,N24000858,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,7/2023,-,640.07,-,"1,195.84",98.90,RAILWAYS
1015,N24000861,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,4/2023,-,473.18,-,541.04,94.70,RAILWAYS
1016,N24000862,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,4/2023,-,537.82,-,778.16,99.82,RAILWAYS
1017,N24000863,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,6/2023,-,518.53,-,849.68,97.90,RAILWAYS
1018,N24000864,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,4/2024,-,404.29,-,666.58,100.00,RAILWAYS
1019,N24000865,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,LADAKH,4-2017,9/2023,-,428.11,-,613.69,98.70,RAILWAYS
1020,N24001278,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-I),NHIDCL,LADAKH,3-2020,7/2022,-,206.88,-,265.34,100.00,RAILWAYS
1021,N24001281,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-III),NHIDCL,LADAKH,3-2020,7/2022,-,292.24,-,294.60,93.20,RAILWAYS
1022,N24001356,DULTE- KWALKULH - CHAMPAI PKG.2,NHIDCL,LADAKH,3-2021,12/2022,Apr-2024,233.25,-,172.09,100.00,RAILWAYS
1023,N24001358,TLABUNG - LUNGLEI PKG-A,NHIDCL,LADAKH,3-2021,12/2022,-,698.44,-,496.84,59.40,RAILWAYS
1024,N24001359,TLABUNG - LUNGLEI PKG-B,NHIDCL,LADAKH,3-2021,1/2023,-,740.58,-,364.34,57.40,RAILWAYS
1025,N24001440,KEIFANG - TUVAI PKG-1,NHIDCL,LADAKH,9-2021,5/2023,-,492.94,-,365.86,90.50,RAILWAYS
1026,N24001975,UP-GRADATION TO 2-LANE WITH PAVED SHOULDERS OF NGOPA - PAWLRANG SECTION OF NH 102B OF AIZAWL - IMPHA,NHIDCL,LADAKH,9-2021,2/2025,-,523.78,-,366.81,80.51,RAILWAYS
1027,N24002027,KEIFANG - TUVAI PKG-3,NHIDCL,LADAKH,12-2021,2/2025,-,500.88,-,263.48,68.80,RAILWAYS
1028,N24002204,ZORINPUI- HMAWNGBU-LONGMASU (NH- 502A),NHIDCL,LADAKH,2-2023,12/2026,-,781.85,-,33.56,3.00,RAILWAYS
1029,N06000154,NILJAI EXPANSION (DEEP) OC (3.5 MTY),WCL,LADAKH,8-2016,3/2022,Mar-2025,319.76,319.76,183.67,98.00,COAL
1030,N06000192,BINA KAKRI AMALGAMATION OCP 14 MTPA,NCL,LADAKH,8-2020,3/2024,-,836.42,-,769.27,85.95,COAL
1031,N40000001,NATIONAL INDUSTRIAL CORRIDOR PROJECT,DMIC FOR DPIIT,LADAKH,9-2011,3/2027,Mar-2032,"20,084.00","26,684.00","11,262.06",50.99,DPIIT
1032,N16000285,KOCHI-KOOTTANAD-BANGALORE- MANGALORE PIPELINE PHASE-II,GAIL,LADAKH,6-2009,12/2012,Dec-2025,"2,915.00","5,909.00","4,294.80",94.00,DPIIT
1033,N16000388,SRIKAKULAM ANGUL PIPELINE PROJECT,GAIL,LADAKH,9-2019,7/2022,Jun-2025,"2,658.34",-,"2,173.30",94.40,DPIIT
1034,N16000391,DHAMRA HALDIA PIPELINE PROJECT,GAIL,LADAKH,3-2020,11/2022,Dec-2025,"1,030.65",-,835.90,86.50,DPIIT
1035,N16000398,MUMBAI NAGPUR JHARSUGUDA PIPELINE PROJECT,GAIL,LADAKH,6-2020,5/2023,Jun-2025,"7,844.25",-,"6,349.90",94.50,DPIIT
1036,N16000426,CGD PROJECT AT NAWADA AND KODERMA DISTRICTS,IOCL,LADAKH,6-2019,12/2029,Mar-2030,169.00,-,71.00,27.20,DPIIT
1037,N16000439,NORTH EAST GAS GRID,IGGL,LADAKH,11-2020,3/2024,Jul-2025,"9,265.00","9,265.00","6,270.19",84.51,DPIIT
1038,N16000531,GURDASPUR JAMMU PIPELINE,GAIL,LADAKH,7-2023,7/2026,Jul-2026,521.92,521.92,133.30,34.90,DPIIT
1039,N18000249,COMPREHENSIVE SCHEME FOR THE STRENGHTENING OF THE TRANSMISSION AND DISTRIBUTION SYSTEM IN A P,PGCIL,LADAKH,12-2014,12/2018,Mar-2025,"4,754.42","9,129.32","7,602.44",81.50,DPIIT
1040,N18000250,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT (NERPSIP) FOR SIX (6) STATES,PGCIL,LADAKH,12-2014,12/2018,Mar-2025,"5,111.33","6,700.00","5,276.39",95.90,DPIIT
1041,N18000328,TS FOR EVACUATION OF POWER FROM PAKALDUL HEP IN CHENAB VALLEY HEPS - LTA SYSTEM,PGCIL,LADAKH,2-2022,4/2025,-,318.12,-,169.75,98.00,DPIIT
1042,N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,PGCIL,LADAKH,3-2022,12/2024,-,288.71,-,149.79,48.00,DPIIT
1043,N18000331,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,LADAKH,2-2022,9/2023,-,359.47,-,319.16,90.00,DPIIT
1044,N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,LADAKH,5-2022,11/2023,-,"1,666.00","2,218.00","1,511.62",92.70,DPIIT
1045,N18000337,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,PGCIL,LADAKH,7-2022,6/2023,-,"4,546.26",-,"3,969.34",92.00,DPIIT
1046,N18000343,SYSTEM STRENGTHENING SCHEME FOR EASTERN AND NORTH EASTERN REGION,PGCIL,LADAKH,10-2022,10/2025,-,307.87,-,234.90,99.90,DPIIT
1047,N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A PART B,PGCIL,LADAKH,3-2023,11/2024,-,"3,546.94",-,"2,759.00",97.00,DPIIT
1048,N18000353,ER WR TRANSMISSION LIMITED,PGCIL,LADAKH,3-2023,3/2025,-,281.16,-,217.88,98.80,DPIIT
1049,220100188,"NANGALDAM-TALWARA(NL),NR",NR,LADAKH,3-1981,12/2025,Jan-2027,"2,018.00",603.00,"1,604.43",75.00,DPIIT
1050,220100232,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",WCR,LADAKH,9-1998,3/2027,-,"8,913.94",63.57,"2,500.34",43.00,DPIIT
1051,N22000134,CHHAPRA-BALLIA UP,NER,LADAKH,3-2013,2/2025,-,941.05,954.00,"1,004.58",95.50,DPIIT
1052,N22000138,CHOTTAUDEPUR-DHAR(NL),WR,LADAKH,4-2007,12/2026,Dec-2027,"1,793.65","1,793.63","1,626.42",59.00,DPIIT
1053,N22000139,"DAHOD-INDORE VIA SARDARPUR, JHABUA AND DHAR (NL)",WR,LADAKH,4-2007,2/2027,Feb-2027,"1,942.00","1,873.10","2,971.25",59.00,DPIIT
1054,N22000148,GWALIOR-SEOPURKALA WITH EXTENSION TO KOTA (GC),NCR,LADAKH,4-2011,3/2025,-,"2,912.96",-,"1,024.32",N.A.,DPIIT
1055,N22000158,DHOLPUR-SIRMUTTRA WITH EXTENSION TO GANGAPURCITY AND MOHARI-TANTPUR AND TANPUR-BANSI PAHARPUR,NCR,LADAKH,4-2010,2/2019,-,746.83,-,391.89,39.00,DPIIT
1056,N22000206,NEW BG LINE FROM BALURGHAT TO HILLY NFR,NFR,LADAKH,4-2010,3/2027,-,"1,208.67",-,418.79,8.00,DPIIT
1057,N22000207,NEW BG LINE FROM JAGBANI TO BIRATNAGAR,NFR,LADAKH,4-2010,3/2022,Dec-2026,401.65,485.96,361.33,86.00,DPIIT
1058,N22000208,MURKONGSELEK-PASIGHAT NL,NFR,LADAKH,4-2011,3/2025,-,435.06,-,795.68,53.50,DPIIT
1059,N22000219,PIRPAINTI-JASIDIH,ER,LADAKH,4-2013,3/2028,Mar-2028,"2,555.03",-,"1,129.76",45.00,DPIIT
1060,N22000261,KAZIPET-VIJAYAWADA 3RD LINE WITH ELECTRIFICATION,SCR,LADAKH,4-2012,2/2025,-,"1,953.00",-,"1,798.38",N.A.,DPIIT
1061,N22000274,DEOBAND (MUZAFFARNAGAR)- ROORKEE NL,NR,LADAKH,4-2007,3/2024,-,"1,053.23",-,588.80,99.00,DPIIT
1062,N22000279,RAYADURGA-TUMKUR NL,SWR,LADAKH,4-2007,9/2015,-,"2,495.59","2,495.86","1,653.85",65.00,DPIIT
1063,N22000333,HOTGI-KUDGI-GADAG,SWR,LADAKH,3-2015,12/2024,-,"1,877.81","1,877.81","2,539.04",89.00,DPIIT
1064,N22000367,KAZIPET-BALHRSHA,SCR,LADAKH,4-2015,1/2025,-,"2,594.59",-,"2,797.55",75.00,DPIIT
1065,N22000463,MUMBAI AHMEDABAD HIGH SPEED RAIL PROJECT,NHSRCL,LADAKH,12-2015,8/2027,-,"108,000.00",-,"76,441.00",52.00,DPIIT
1066,N22000464,WESTERN DEDICATED FREIGHT CORRIDOR,DFCC,LADAKH,11-2007,3/2022,-,"51,101.00","51,101.00","47,476.00",83.00,DPIIT
1067,N22000467,CHANDIGARH-BADDI,NR,LADAKH,4-2007,6/2025,Dec-2026,"1,540.13","1,540.14",941.19,29.00,DPIIT
1068,N22000506,NARAYANGARH TO BHADRAK 3RD LINE (155 KM),SER,LADAKH,3-2019,12/2024,-,"2,400.00",-,"2,048.31",60.00,DPIIT
1069,N24000182,VARANASI-AURANGABAD KM.786 TO KM.978.40,NHAI,LADAKH,9-2011,3/2014,-,"2,848.00",-,"3,901.66",90.02,DPIIT
1070,N24001628,4/6L OF SPUR TO HARIDWAR (GREENFIELD) FROM KM. 0.000 TO KM. 49.000,NHAI,LADAKH,11-2021,2/2025,Aug-2025,"2,155.95",-,"1,359.81",67.42,DPIIT
1071,N24001629,6L WITH ACCESS CONTROL PROVISION SAHARANPUR BYPASS TO GANESHPUR SECTION FROM 13.89 KM TO 41.820 KM O,NHAI,LADAKH,4-2022,11/2024,Jun-2025,796.65,-,432.84,87.50,DPIIT
1072,N25000072,JAL MARG VIKAS PROJECT,IWAI,LADAKH,1-2018,3/2023,Dec-2025,"5,369.18","5,061.15","3,441.55",68.86,SHIPPING AND
1073,N26000114,PHASE-I OF CONSOLIDATION OF EXISTING CDR DATA CENTERS AND NIB-P3 DATA CENTERS WITH STATE OF THE ART,BSNL,LADAKH,3-2020,6/2021,Nov-2021,461.42,461.42,166.02,81.00,TELECOMMUN
1074,N26000115,SUPER EDGE ROUTERS FOR BSNL INTERNET PROTOCOL - MULTI PROTOCOL LEBEL SWITCHING (IPMPLS) NETWORK and,BSNL,LADAKH,3-2023,3/2024,Jul-2024,239.60,-,179.43,100.00,ICATIONS
1075,N26000116,MPLS-IP BASED ACCESS AND AGGREGATION NETWORK (MAAN) IN BSNL ALONG WITH TEST AND MEASURING EQUIPMENT,BSNL,LADAKH,5-2023,8/2024,Nov-2024,645.13,-,346.69,89.15,ICATIONS
1076,N26000117,PLANNIN ENGINEERING SUPPLY INSTALLATION TESTING COMMISSIONING INTEGARTION and ANNUAL MAINTENANCE OF,BSNL,LADAKH,6-2023,6/2025,-,"24,556.35","24,544.55","8,087.14",94.09,ICATIONS
1077,N26000118,OPTICAL TRANSPORT NETWORK (OTN) PH- 4 IN BSNL,BSNL,LADAKH,2-2024,8/2025,-,810.99,-,635.37,100.00,ICATIONS
1078,N28000134,DELHI GHAZIABAD MEERUT RRTS CORRIDOR,NCRTC,LADAKH,3-2019,6/2025,-,"30,274.00",-,"25,673.23",86.30,"URBAN
DEVELOPMEN
T"
1079,N16000529,"AUGMENTATION OF DIMAPUR DEPOT, DIMAPUR",IOCL,LADAKH,8-2023,11/2027,-,227.62,-,6.12,18.00,PETROLEUM
1080,N22000124,NEW LINE FROM DIMAPUR TO ZUBZA(KOHIMA) NATIONAL PROJECT (NEFR),NFR,LADAKH,4-2006,3/2026,-,"6,663.20","6,663.20","4,789.15",73.00,RAILWAYS
1081,N24000686,FOUR LANING OF DIMAPUR KOHIMA ROAD FROM DESIGN KM 123.840 TO KM 138.775 (EXISTING KM 124.100 TO KM 1,NHIDCL,LADAKH,3-2016,9/2019,Nov-2022,373.07,534.41,382.50,99.81,RAILWAYS
1082,N24000688,FOUR LANING OF EXISTING DIMAPUR KOHIMA ROAD FROM DESIGN KM 152.490 TO KM 166.700 (EXISTING KM 156.00,NHIDCL,LADAKH,3-2016,8/2022,Sep-2025,429.52,794.74,321.40,91.49,RAILWAYS
1083,N24000752,(I) CONSTRUCTION OF FOUR/SIX LANING FROM KM 132.375 TO KM 158.058 (TOTAL NEW ALIGNMENT LENGTH OF 20.,NHIDCL,LADAKH,2-2017,9/2020,Feb-2023,387.00,688.12,392.01,100.00,RAILWAYS
1084,N24000753,(II) CONSTRUCTION OF DIMAPUR BYPASS (ASSAM PORTION) OF 4/6 LANE PAVEMENT ON EPC BASIS FROM EXISTING,NHIDCL,LADAKH,3-2018,11/2022,Aug-2024,500.09,698.81,393.53,100.00,RAILWAYS
1085,N24000763,CONSTRUCTION OF TWO LANE WITH HARD SHOULDERS OF MERANGKONG-TAMLU- MON ROAD FROM EXISTING KM 20.456 TO,NHIDCL,LADAKH,3-2018,12/2021,Aug-2022,215.79,-,130.20,79.58,RAILWAYS
1086,N24000765,CONSTRUCTION OF TWO LANE WITH HARD SHOULDERS OF MERANGKONG-TAMLU- MON ROAD FROM EXISTING KM 60.345 TO,NHIDCL,LADAKH,3-2018,9/2018,Jun-2023,323.98,-,119.94,59.68,RAILWAYS
1087,N24001255,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF KOHIMA-BYPASS ROAD FROM DESIGN KM10.500 TO 21.00KM [D,NHIDCL,LADAKH,9-2020,10/2022,Sep-2024,277.44,-,168.88,67.81,RAILWAYS
1088,N24001257,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF KOHIMA-BYPASS ROAD FROM DESIGN KM21.0 TO KM32.0 [DESIG,NHIDCL,LADAKH,8-2020,10/2022,Jun-2025,159.85,342.29,103.95,29.90,RAILWAYS
1089,N24001258,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF KOHIMA-BYPASS ROAD FROM DSIGN KM32.0 TO KM43.454 [DES,NHIDCL,LADAKH,8-2020,4/2022,Apr-2023,202.36,-,75.39,31.02,RAILWAYS
1090,N24001282,2 LANING OF KOHIMA - JESSAMI SECTION (PACKAGE II),NHIDCL,LADAKH,3-2020,6/2022,-,355.79,-,119.20,65.06,RAILWAYS
1091,N24001286,2-LANING OF CHANGTONGYA TO LONGLENG ROAD OF NH-702 (PKG-I),NHIDCL,LADAKH,3-2020,6/2022,Oct-2022,278.95,-,166.29,100.00,RAILWAYS
1092,N24001287,2 LANING OF KOHIMA - JESSAMI SECTION (PACKAGE V),NHIDCL,LADAKH,4-2020,12/2021,Nov-2025,330.80,-,171.89,92.44,RAILWAYS
1093,N24001288,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF KOHIMA-BYPASS ROAD FROM DESIGN KM 0.00 TO KM 10.500 [D,NHIDCL,LADAKH,8-2020,4/2022,Nov-2026,232.29,350.88,70.90,14.70,RAILWAYS
1094,N24001406,PEREN-DIMAPUR SECTION PKG-2,NHIDCL,LADAKH,7-2021,3/2023,Sep-2025,258.52,-,89.46,79.70,RAILWAYS
1095,N24001438,MERANGKONG-TAMLU-MON (MTM) PKG-5,NHIDCL,LADAKH,7-2021,12/2023,-,161.73,-,62.08,67.82,RAILWAYS
1096,N24001465,WIDENING OF EXISTING SINGLE LANE / INTERMEDIATE LANE ROAD TO 2 LANE FROM KM 101 TO KM 125 OF NH 61 I,MoRTH,LADAKH,6-2020,9/2024,Jun-2026,252.19,-,14.25,17.90,RAILWAYS
1097,N24001466,WIDENING TO EXISTING SINGLE LANE /INTERMEDIATE LANE TO 2 LANE FROM KM185.00 TO KM 220.00 OF NH-61 (N,MoRTH,LADAKH,3-2021,7/2024,Dec-2025,297.24,-,137.76,79.47,RAILWAYS
1098,N24001467,WIDENING TO EXISTING SINGRE/INTERMEDIATE RANE TO 2 LANE FROM KM 135 TO KM 147 AND FROM KM 156.00 TO,MoRTH,LADAKH,3-2021,2/2024,Mar-2025,226.44,-,140.24,100.00,RAILWAYS
1099,N24001855,WIDENING OF EXISTING SINGLE LANE ROAD TO INTERMEDIATE LANE ROAD FROM MOKOKCHUNG TO CHARE VIA DIKHU I,MoRTH,LADAKH,2-2021,6/2025,Sep-2025,192.93,-,105.41,92.82,RAILWAYS
1100,N24001912,PEREN-DIMAPUR PKG-3,NHIDCL,LADAKH,2-2021,6/2025,-,177.77,199.02,46.94,61.25,RAILWAYS
1101,N24001976,WIDENING TO 2 LANE WITH HARD SHOULDER OF AKEGWO-AVANGKHU SECTION OF NH-202K FOR PACKAGE-I (DESIGN CH,NHIDCL,LADAKH,12-2022,2/2026,-,430.24,-,100.51,54.28,RAILWAYS
1102,N24001977,WIDENING TO 2 LANE WITH HARD SHOULDER OF AKEGWO-AVANGKHU SECTION OF NH-202K FOR PACKAGE-II (DESIGN C,NHIDCL,LADAKH,12-2022,2/2026,-,442.54,-,50.60,26.58,RAILWAYS
1103,N24001978,WIDENING TO 2 LANE WITH HARD SHOULDER OF AKEGWO-AVANGKHU SECTION OF NH-202K FOR PACKAGE-III (DESIGN,NHIDCL,LADAKH,12-2022,2/2026,-,497.18,-,163.84,62.02,RAILWAYS
1104,N06000112,BASUNDHARA (WEST) OC EXTN(7.00 MTY),MCL,LADAKH,5-2014,3/2019,-,479.15,-,267.20,63.04,RAILWAYS
1105,N06000113,SIARMAL OCP (40.00MTY),MCL,LADAKH,2-2021,3/2029,-,"5,194.96",-,"3,436.40",51.94,RAILWAYS
1106,N06000167,INTEGRATED LAKHANPUR-BELPAHAR- LILARI OCP,MCL,LADAKH,5-2018,3/2027,-,"2,434.75",-,"1,760.96",60.87,RAILWAYS
1107,N06000171,REORGANISATION OF BHARATPUR OCP EXPANSION,MCL,LADAKH,11-2018,3/2029,-,"2,838.87",-,"1,835.56",44.62,RAILWAYS
1108,N06000203,NAINI COAL MINE,SCCL,LADAKH,3-2020,3/2024,-,494.30,-,491.33,80.00,RAILWAYS
1109,N06000229,GOPALJI-KANIHA OCP,MCL,LADAKH,4-2022,3/2028,-,"6,107.87",-,"1,703.67",17.39,RAILWAYS
1110,N06000230,BALARAM EXPANSION OCP,MCL,LADAKH,8-2020,3/2029,-,"3,504.21",-,"1,024.91",50.17,RAILWAYS
1111,N06000249,SUBHADRA OCP,MCL,LADAKH,5-2021,3/2029,Mar-2029,"1,693.81",-,"1,181.97",39.30,RAILWAYS
1112,N06000270,NLC TALABIRA THERMAL POWER PROJECT (PHASE-1: 3 X 800 MW),NLC,LADAKH,1-2024,5/2029,Mar-2030,"27,213.00",-,"1,883.39",1.55,RAILWAYS
1113,N06000285,RPR OF HINGULA EXPANSION OCP,MCL,LADAKH,11-2022,3/2029,-,"1,561.85",-,49.10,3.57,RAILWAYS
1114,N06000286,BHUBANESWARI EXPANSION OCP,MCL,LADAKH,3-2024,3/2031,-,"5,366.28",-,3.95,8.33,RAILWAYS
1115,N06000288,BALABHADRA OCP,MCL,LADAKH,4-2023,3/2030,-,978.44,-,209.50,1.86,RAILWAYS
1116,N06000289,INTEGRATED KULDA GARJANBAHAL OCP,MCL,LADAKH,4-2023,3/2030,-,"3,563.50",-,496.87,3.58,RAILWAYS
1117,N28000126,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH BERHAMPUR,CPWD EDUCATION,LADAKH,1-2019,3/2022,-,790.79,-,706.39,96.00,DEPARTMENT
1118,N10000010,5TH STREAM ALUMINA REFINERY EXPANSION PROJECT,NALCO,LADAKH,12-2014,4/2021,Sep-2025,"4,103.00","5,677.40","3,799.56",73.74,MINES
1119,N10000011,UTKAL D AND E COAL BLOCK,NALCO,LADAKH,5-2016,1/2020,Nov-2023,534.00,-,826.94,87.50,MINES
1120,N10000012,CONVERSION OF FLAT BOTTOM SETTLERS AND WASHERS WITH A SINGLE TRAIN OF HRDS AND DCWS IN STREAMS 1 AND,NALCO,LADAKH,12-2015,11/2020,Sep-2025,355.00,581.00,163.55,12.60,MINES
1121,N10000013,SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA REFINERY FROM SOUTH BLOCK MINING LEASE OF PAN,NALCO,LADAKH,11-2017,4/2021,May-2026,483.00,483.00,385.20,89.30,MINES
1122,N10000016,POTTANGI BAUXITE MINES,NALCO,LADAKH,5-2018,12/2024,-,"1,437.00",-,650.05,51.00,MINES
1123,N10000017,CONSTRUCTION OF RED MUD POND - II AT NALCO DAMANJODI ODISHA,NALCO,LADAKH,9-2019,3/2023,May-2024,225.79,-,5.00,100.00,MINES
1124,N16000396,INTEGRATED PARA XYLENE (PX) AND PURIFIED TEREPHTHALIC ACID (PTA) PROJECT AT PARADIP REFINERY,IOCL,LADAKH,7-2020,1/2024,Apr-2025,"13,805.00",-,"7,531.48",89.70,PETROLEUM
1125,N18000351,EASTERN REGION EXPANSION SCHEME XXIX,PGCIL,LADAKH,3-2023,11/2025,-,524.04,-,359.97,99.00,POWER
1126,N18000364,TALCHER THERMAL POWER PROJECT STAGE III(2X660 MW),NTPC,LADAKH,8-2022,5/2027,-,"11,844.00",-,"3,218.10",21.40,POWER
1127,220100284,KHURDA ROAD-BOLANGIR(NL)ECOR,ECOR,LADAKH,4-1994,12/2026,Dec-2026,"3,550.00","3,791.66","4,840.22",85.00,POWER
1128,220100328,TALCHER-BIMALAGARH(NL)(ECOR),ECOR,LADAKH,4-2005,3/2025,-,"1,928.10",-,"1,726.15",40.00,POWER
1129,N22000316,BHADRAK - NERGUNDI 3RD LINE,ECOR,LADAKH,3-2013,11/2024,Jan-2026,"1,284.39","1,284.39","1,288.97",80.00,POWER
1130,N22000376,JAGADALPUR-KORAPUT DOUBLING,ECOR,LADAKH,4-2015,3/2024,-,"1,547.38",-,"1,291.30",93.60,POWER
1131,N22000379,KORAPUT - SINGAPUR ROAD DOUBLING,ECOR,LADAKH,4-2015,12/2027,Mar-2026,"2,362.00","2,361.74","1,794.64",79.00,POWER
1132,N22000380,JARAPADA - BUDHAPANK WITH FLY OVER AT TALCHER ROAD 3RD AND 4TH LINE,ECOR,LADAKH,4-2015,3/2027,-,820.61,-,580.59,N.A.,POWER
1133,N22000381,BUDHAPANK - SALEGAON VIA RAJATGARH 3RD AND 4TH LINE.,ECOR,LADAKH,4-2015,3/2026,Nov-2025,"1,172.92",-,"1,949.32",80.00,POWER
1134,N22000409,VIZIANAGARAM -SAMABALPUR 3RD LINE,RVNL,LADAKH,1-1991,12/2026,-,"4,803.16",-,"4,691.52",N.A.,POWER
1135,N22000516,JEYPORE MALKANGIRI NEW LINE,ECOR,LADAKH,2-2018,7/2033,-,"2,344.00",-,220.78,90.10,POWER
1136,N22000517,JEYPORE NABARANGPUR NEWLINE,ECOR,LADAKH,7-2017,7/2028,Dec-2029,748.00,-,0.00,N.A.,POWER
1137,N22000518,TALCHER - ANGUL NEW LINE WITH Y CONNECTION AT TALCHER,ECOR,LADAKH,7-2018,12/2026,-,278.96,495.00,29.50,N.A.,POWER
1138,N22000519,KODINGAMALI BAUXITE MINES TO SINGARAM RAILWAY STATION,ECOR,LADAKH,8-2022,8/2027,-,190.90,-,10.00,N.A.,POWER
1139,N22000520,GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION,ECOR,LADAKH,9-2022,9/2027,-,189.93,-,14.04,N.A.,POWER
1140,N22000521,BRUNDAMAL-JHARSUGUDA- FLYOVER CONNECTION FOR JOINING DN LINE,ECOR,LADAKH,12-2009,12/2026,-,296.51,-,171.98,10.00,POWER
