Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
1,612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",(Airport Authority of India [AAI]),Andhra Pradesh,03/2023,01/2024,01/2026,03/2026,265.91,265.91,50.06,34,Aviation & Aviation Infrastructure
2,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,(Airport Authority of India [AAI]),Andhra Pradesh,06/2020,09/2020,09/2022,12/2025,611.8,611.8,473.27,79,Aviation & Aviation Infrastructure
3,701121,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,(Airport Authority of India [AAI]),Andhra Pradesh,12/2022,08/2023,08/2025,12/2025,347.15,347.15,90.56,51,Aviation & Aviation Infrastructure
4,706724,Guwahati Airport New Integrated Terminal Building Construction Project,(Adani Airport Holdings Limited),Assam,12/2016,03/2018,03/2025,11/2025,1712,1712,2335.44,91,Aviation & Aviation Infrastructure
5,612183,Development of New Civil Enclave at Bihta,(Airport Authority of India [AAI]),Bihar,08/2024,03/2025,09/2027,-,1413,1413,0,1,Aviation & Aviation Infrastructure
6,612194,Development of New Civil Enclave and associated works at Darbhanga Airport,(Airport Authority of India [AAI]),Bihar,07/2024,07/2024,01/2026,-,911.66,911.66,160.2,26,Aviation & Aviation Infrastructure
7,701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",(Airport Authority of India [AAI]),Bihar,12/2018,10/2018,07/2023,11/2025,1216.9,1216.9,1096.51,94,Aviation & Aviation Infrastructure
8,701105,Goa Airport Terminal Building Extension Project,(Airport Authority of India [AAI]),Goa,11/2017,12/2019,12/2021,09/2025,255.69,255.69,130,90,Aviation & Aviation Infrastructure
9,701126,"Development of Dholera International Greenfield Airport , Gujarat",(Airport Authority of India [AAI]),Gujarat,06/2022,07/2022,06/2026,06/2026,1305,1551,1348.78,64,Aviation & Aviation Infrastructure
10,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",(Airport Authority of India [AAI]),Jammu and Kashmir,07/2022,07/2023,06/2026,06/2026,861.37,861.37,177.69,35,Aviation & Aviation Infrastructure
11,612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,(Airport Authority of India [AAI]),Karnataka,06/2023,01/2024,01/2026,03/2026,320.47,320.47,61.79,38,Aviation & Aviation Infrastructure
12,612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,(Airport Authority of India [AAI]),Karnataka,06/2023,02/2024,01/2026,01/2026,322.45,322.45,121.72,52,Aviation & Aviation Infrastructure
13,612789,"Development of additional RESA on either end on Runway 10-28  at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",(Airport Authority of India [AAI]),Kerala,06/2023,02/2024,09/2025,03/2026,484.57,484.57,83.95,21,Aviation & Aviation Infrastructure
14,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",(Airport Authority of India [AAI]),Ladakh,07/2018,09/2018,09/2021,10/2025,480,640,434.79,71,Aviation & Aviation Infrastructure
15,706718,C/o NITB Imphal Airport,(Airport Authority of India [AAI]),Manipur,11/2021,07/2022,07/2024,12/2026,499,499,154.43,41,Aviation & Aviation Infrastructure
16,611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",(Airport Authority of India [AAI]),"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",NA,10/2022,09/2025,08/2026,500.48,500.48,332.26,75,Aviation & Aviation Infrastructure
17,701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,(Airport Authority of India [AAI]),Rajasthan,05/2022,04/2023,11/2024,10/2025,480,480,281.72,84,Aviation & Aviation Infrastructure
18,701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,(Airport Authority of India [AAI]),Rajasthan,06/2023,11/2022,03/2026,10/2026,887,887,352.82,49,Aviation & Aviation Infrastructure
19,612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",(Airport Authority of India [AAI]),Sikkim,11/2023,12/2023,02/2026,-,323.26,323.26,29.7,12,Aviation & Aviation Infrastructure
20,611602,"Modernization of Chennai Airport, Phase II, Part 2",(Airport Authority of India [AAI]),Tamil Nadu,05/2018,06/2023,07/2025,03/2026,1207,1207,149.21,22,Aviation & Aviation Infrastructure
21,612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",(Airport Authority of India [AAI]),Uttar Pradesh,NA,08/2023,11/2024,08/2025,219.18,274.38,215.19,100,Aviation & Aviation Infrastructure
22,701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works,(Adani Airport Holdings Limited),Uttar Pradesh,06/2018,09/2018,03/2026,-,3100,3100,16024.42,100,Aviation & Aviation Infrastructure
23,701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",(Airport Authority of India [AAI]),Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,322.98,16,Aviation & Aviation Infrastructure
24,701122,Development of New Integrated Civil Enclave at Agra Airport,(Airport Authority of India [AAI]),Uttar Pradesh,06/2024,07/2024,07/2026,-,579,579,76.88,16,Aviation & Aviation Infrastructure
25,611495,Development of New Civil Enclave at Bagdogra Airport,(Airport Authority of India [AAI]),West Bengal,08/2024,10/2023,01/2027,01/2027,1549,1549,274.14,11,Aviation & Aviation Infrastructure
26,612791,"Re-Construction of Rigid portions of Secondary Runway, K and  A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",(Airport Authority of India [AAI]),West Bengal,04/2023,12/2023,02/2025,08/2026,328.3,328.3,101.26,45,Cumulative
27,615820,TIKAK EXTENSION OCP,(MIS MoCoal Integration Logins),Assam,07/2022,07/2022,07/2031,-,159.77,159.77,80.84,0,Coal
28,615821,TIRAP OCP,(MIS MoCoal Integration Logins),Assam,11/2022,11/2022,11/2030,-,289.46,289.46,105.47,0,Coal
29,400144,PORDA CHIMTAPANI OCP [10 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,12/2020,12/2020,03/2029,-,2310.12,2310.12,83.66,10,Coal
30,400145,CHHAL OC SEAM III [6 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,12/2013,12/2013,03/2022,09/2025,610.63,610.63,577.46,85,Coal
31,400147,KUSMUNDA OC EXPANSION [15 TO 50 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,08/2013,08/2013,03/2023,03/2030,7612.33,7612.33,4697.95,81,Coal
32,400149,BAROUD OC EXPANSION [3.0-10.0M,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,08/2020,08/2020,03/2029,-,2309.8,2309.8,926.11,48,Coal
33,400354,DIPKA EXPANSION OCP [40 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,12/2020,12/2020,03/2029,-,5241.4,5241.4,2830.01,37,Coal
34,400424,GEVRA OC [70 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,03/2016,03/2016,03/2023,03/2026,11816.4,11816.4,5328.96,77,Coal
35,613795,JAMPALI OC RCE [2.0 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,05/2020,05/2020,03/2025,06/2025,278.64,278.64,210.07,82,Coal
36,613798,AMERA OC RCE [1.0 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,02/2015,02/2015,03/2026,-,335.97,335.97,88.21,42,Coal
37,613799,AMGAON OC RCE [1.0 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,07/2015,07/2015,03/2026,-,316.11,316.11,188.6,72,Coal
38,613800,JAGANNATHPUR OC RCE PROJECT[3,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,07/2016,07/2016,03/2025,03/2026,459.49,459.49,274.35,92,Coal
39,613801,MAHAMAYA OCP [1.50 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,05/2018,05/2018,03/2026,-,410.26,410.26,181.23,38,Coal
40,615191,KATKONA RO UG MINE,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,01/2023,01/2023,03/2029,-,329.21,329.21,60.3,2,Coal
41,616234,PELMA OC MDO,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,10/2022,10/2022,03/2033,-,1725.04,1725.04,15.66,17,Coal
42,617287,KUSMUNDA OC EXPANSION PROJECT 50-75 MTY,(SECL - CIL),Chhattisgarh,11/2024,11/2024,03/2030,-,4516.88,4516.88,16.97,3,Coal
43,617288,MANIKPUR OC EXPANSION PROJECT 7 MTY,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,01/2025,01/2025,03/2029,-,382.61,382.61,0.86,1,Coal
44,612838,DIPKA OC,(SECL - CIL),Gujarat,NA,01/2017,03/2025,-,7580,7580,3091,65,Coal
45,400018,HURA C OCP,(ECL - CIL),Jharkhand,08/2022,08/2022,03/2029,-,859.41,859.41,450.76,62,Coal
46,400073,KONAR EXPANSION OCP,(Ministry of Coal),Jharkhand,01/2022,01/2022,03/2032,-,799.34,799.34,424.01,45,Coal
47,400074,KARO EXPANSION OCP,(Ministry of Coal),Jharkhand,01/2022,01/2022,03/2029,-,908.47,908.47,269.18,22,Coal
48,400136,SANGHMITRA OC,(Ministry of Coal),Jharkhand,03/2024,03/2027,03/2032,-,2660,2660,0,0,Coal
49,400138,CHANDRAGUPT OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,03/2032,-,973.5,973.5,440.56,25,Coal
50,400139,KOTRE BASANTPUR PACHMO OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,03/2032,-,861.06,625.4,455.95,42,Coal
51,400142,Pachwara South Coal Block,(NLC India Limited [NLCIL]),Jharkhand,NA,12/2019,09/2028,-,2242.9,2242.9,1170.75,74,Coal
52,400150,RPR MAGADH EXP OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,03/2028,-,7254.37,7254.37,1535.31,38,Coal
53,400151,NORTH URIMARI EXPANSION OCP,(Ministry of Coal),Jharkhand,07/2021,07/2021,03/2029,-,778.8,778.8,695.99,67,Coal
54,400153,EPR ROHINI - KARKETTA OCP,(Central Coalfields Limited [CCL]),Jharkhand,01/2021,01/2021,03/2028,-,1020.42,1020.42,83.95,20,Coal
55,400154,EPR PUNDI OCP,(Ministry of Coal),Jharkhand,11/2020,11/2020,03/2027,-,713.35,713.35,236.58,10,Cumulative
56,400155,EPR ASHOK OC,(Ministry of Coal),Jharkhand,05/2021,05/2021,03/2028,-,2898.28,2898.28,178.51,22,Cumulative
57,400156,EPR AMRAPALI OCP,(Ministry of Coal),Jharkhand,02/2020,02/2020,03/2028,-,5136.15,5136.15,1154.6,43,Cumulative
58,400160,RAJRAPPA RCE OCP,(Ministry of Coal),Jharkhand,12/2009,12/2009,03/2016,03/2027,510.85,510.85,488.67,76,Cumulative
59,400172,CHITRA EAST OC,(Eastern Coal Fields Limited [ECL]),Jharkhand,08/2018,08/2018,03/2026,-,513.99,513.99,229.01,51,Cumulative
60,400352,JHARKHAND-LAIYO OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,03/2031,-,764.57,764.57,145.81,29,Cumulative
61,400425,MOONIDIH XV SEAM UG,(Ministry of Coal),Jharkhand,08/2011,08/2011,03/2019,05/2026,1230.27,1230.27,626.63,81,Cumulative
62,611017,2.5 MTPA PATHERDIH NLW WASHERY,(Ministry of Coal),Jharkhand,10/2015,04/2016,04/2018,03/2026,334.27,334.27,140.51,48,Cumulative
63,611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,(Ministry of Coal),Jharkhand,01/2023,01/2023,03/2030,-,4011.85,4011.85,398.5,28,Cumulative
64,613808,MURAIDIH UG PROJECT,(Ministry of Coal),Jharkhand,02/2011,02/2011,04/2014,12/2026,339.87,339.87,191,70,Cumulative
65,615349,TAPIN SOUTH EXPN,(Ministry of Coal),Jharkhand,11/2020,11/2020,03/2028,-,230.41,230.41,22.02,20,Cumulative
66,615822,SIRKA OC,(Ministry of Coal),Jharkhand,05/2020,05/2020,03/2028,-,222.82,222.82,139.31,53,Cumulative
67,615843,TETARIAKHAR OC,(Ministry of Coal),Jharkhand,11/2019,11/2019,03/2025,03/2027,243.52,243.52,44.64,30,Cumulative
68,616225,CHUPERBHITA SIMLONG OCP MDO 6 MTY,(Eastern Coal Fields Limited [ECL]),Jharkhand,12/2023,12/2023,03/2037,-,979.08,979.08,0,0,Cumulative
69,616236,JARANGDIH EXPN. OCP 1.5 MTY,(CCL - CIL),Jharkhand,02/2020,02/2020,03/2029,-,414.37,414.37,85.6,33,Cumulative
70,616253,BLOCK E OCP,(Ministry of Coal),Jharkhand,03/2024,03/2024,03/2029,-,5850.83,5850.83,20.32,3,Cumulative
71,400148,AMADAND OCP[4.0MTY],(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,03/2016,03/2016,03/2021,03/2027,869.44,869.44,273.45,75,Cumulative
72,400152,RAMPUR BATURA OCP [4.0MTY],(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,07/2019,07/2019,03/2026,-,1248.93,1248.93,495.4,44,Cumulative
73,400162,BLOCK B EXPANSION  [3.5 TO 8.0,(Northern Coalfields Limited [NCL]),Madhya Pradesh,07/2019,07/2019,03/2023,03/2027,998.71,998.71,457.2,47,Cumulative
74,400321,NIGAHI EXPANSION [15 TO 25 MTP,(Northern Coalfields Limited [NCL]),Madhya Pradesh,11/2020,11/2020,03/2025,03/2028,1729.68,1729.68,804.11,48,Cumulative
75,613802,KANCHAN OC EXP,(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,12/2014,12/2014,03/2026,-,371.04,371.04,144.61,47,Cumulative
76,613803,JHIRIA WEST OCP [1.5 MTY],(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,01/2024,01/2024,03/2026,-,366.94,366.94,34.05,41,Cumulative
77,613804,RPR TAWA-III UG 0.84 MTY,(Western Coalfields Limited [WCL]),Madhya Pradesh,12/2021,12/2021,03/2027,-,314.09,314.09,5.79,17,Cumulative
78,615185,AMALGAMATED DHANKASA & JAMUNIA,(Western Coalfields Limited [WCL]),Madhya Pradesh,09/2022,09/2022,03/2027,-,399.2,399.2,91.67,66,Cumulative
79,615187,RPR OF VISHNUPURI UG TO OC,(Western Coalfields Limited [WCL]),Madhya Pradesh,11/2022,11/2022,03/2029,-,220.62,220.62,0,11,Cumulative
80,615194,URDHAN EXPANSION OC COST PLUS,(Western Coalfields Limited [WCL]),Madhya Pradesh,07/2022,01/2023,03/2031,-,206.88,206.88,27.19,1,Cumulative
81,615195,SHARDA UG MINE,(Western Coalfields Limited [WCL]),Madhya Pradesh,07/2023,09/2023,03/2028,-,166.25,166.25,3.96,9,Cumulative
82,615206,GANDHIGRAM UG MINE,(Western Coalfields Limited [WCL]),Madhya Pradesh,08/2019,08/2019,03/2026,-,414.15,414.15,13.38,57,Cumulative
83,400033,BHATADI EXPANSION OC,(Western Coalfields Limited [WCL]),Maharashtra,02/2020,05/2022,03/2028,-,580.61,580.61,69.73,26,Cumulative
84,400177,AMALGAMATED YEKONA I & YEKONA,(Western Coalfields Limited [WCL]),Maharashtra,08/2015,08/2015,03/2025,03/2026,727.28,727.28,535.96,80,Cumulative
85,400178,DINESH[MAKARDHOKRA-III] OC,(Western Coalfields Limited [WCL]),Maharashtra,02/2020,02/2020,03/2027,-,822.88,822.88,621.73,35,Cumulative
86,400353,DHUPTALA OC [SASTI UG TO OC ],(Western Coalfields Limited [WCL]),Maharashtra,10/2021,10/2021,03/2028,-,711.01,711.01,80.61,17,Cumulative
87,615184,SAONER UG MINE -1 EXPANSION 1.,(Western Coalfields Limited [WCL]),Maharashtra,01/2022,01/2022,03/2028,-,228.64,228.64,141.21,68,Cumulative
88,615186,SASTI  EXPANSION OPENCAST,(Western Coalfields Limited [WCL]),Maharashtra,08/2020,08/2020,03/2026,-,319.04,319.04,90.31,20,Cumulative
89,615188,NEW MAJRI UG TO OC 3 MTY COST,(Western Coalfields Limited [WCL]),Maharashtra,05/2019,09/2022,03/2027,-,402.27,402.27,55.44,24,Cumulative
90,615189,MAKARDHOKRA EXPN OC 4.9 MTY,(Western Coalfields Limited [WCL]),Maharashtra,06/2022,06/2022,03/2026,-,361.87,361.87,70.22,12,Cumulative
91,615190,SINGHORI DEEP OC MIN 2.0 MTY,(Western Coalfields Limited [WCL]),Maharashtra,05/2022,05/2022,03/2029,-,335.75,335.75,26.79,6,Cumulative
92,615192,GOKUL EXTENSION OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,04/2021,04/2021,03/2026,-,309.58,309.58,40.06,8,Cumulative
93,615199,KOLGAON EXPANSION DEEP OC MINE 0.80 MTY,(Western Coalfields Limited [WCL]),Maharashtra,09/2023,09/2023,03/2027,-,198.71,198.71,0.71,3,Cumulative
94,615330,BALLARPUR NORTH WEST OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,12/2022,12/2022,03/2029,-,360.81,360.81,0.02,4,Cumulative
95,615331,GADEGAON OC 3 MTY,(Western Coalfields Limited [WCL]),Maharashtra,10/2023,10/2023,03/2030,-,497.41,497.41,0.08,0,Cumulative
96,615914,GHONSA EXPANSION DEEP OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,03/2021,03/2021,03/2029,-,184.71,184.71,11.48,6,Cumulative
97,615916,AMLG GAURI PAUNI EXPANSION OC,(Western Coalfields Limited [WCL]),Maharashtra,04/2024,04/2024,03/2030,-,1225.21,1225.21,78.87,1,Cumulative
98,615917,GAURIDEEP/GAURI CENTRAL OCP 7.,(Western Coalfields Limited [WCL]),Maharashtra,06/2024,06/2024,03/2030,-,973.07,973.07,0.24,0,Cumulative
99,615918,RPR OF BHANEGAON OC,(Western Coalfields Limited [WCL]),Maharashtra,02/2017,09/2022,03/2028,-,405.2,405.2,12.36,8,Cumulative
100,615919,N. EXTN. MUNGOLI NIRGUDA D OCP,(Western Coalfields Limited [WCL]),Maharashtra,06/2024,06/2024,03/2030,-,1024.91,1024.91,168.59,0,Cumulative
101,615982,NILJAI EXPANSION DEEP  OCP,(Western Coalfields Limited [WCL]),Maharashtra,08/2016,08/2016,03/2022,03/2026,319.75,319.75,367.6,79,Cumulative
102,616044,UKNI DEEP OC MINE -COST PLUS,(Western Coalfields Limited [WCL]),Maharashtra,01/2019,01/2019,03/2021,03/2026,237.06,237.06,165.57,87,Cumulative
103,616050,AMALGAMATED INDER-KAMPTEE DEEP OC,(Western Coalfields Limited [WCL]),Maharashtra,09/2018,09/2018,03/2024,03/2026,235.9,235.9,237.12,98,Cumulative
104,616223,ADASA UG TO OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,11/2018,11/2018,03/2024,03/2026,316,316,308.84,86,Cumulative
105,616229,AMAL GONDEGAON GHATROHANA EXPN,(Western Coalfields Limited [WCL]),Maharashtra,09/2024,09/2024,03/2030,-,668.54,668.54,1.18,0,Cumulative
106,617233,WAGHODA UG MINE [1.02 MTY],(Western Coalfields Limited [WCL]),Maharashtra,01/2024,01/2025,03/2030,-,379.3,379.3,0,0,Cumulative
107,617278,KOLARPIMPRI EXPANSION OC [2.5 MTY],(Western Coalfields Limited [WCL]),Maharashtra,06/2024,02/2025,03/2030,-,630.37,630.37,0,0,Cumulative
108,400313,Master Plan for Jharia and Raniganj Coalfields,(Bharat Coking Coal Limited [BCCL]),"Multi-States (Jharkhand, West Bengal)",08/2009,08/2009,08/2019,12/2028,2661.73,2661.73,788.85,43,Cumulative
109,400369,BINA KAKRI AMALGAMATION EXPANS,(Northern Coalfields Limited [NCL]),"Multi-States (Madhya Pradesh, Uttar Pradesh)",08/2020,08/2020,03/2024,03/2027,836.42,836.42,786.99,89,Cumulative
110,615183,KHADIA EXPANSION [10 TO 16 MTP,(Northern Coalfields Limited [NCL]),"Multi-States (Madhya Pradesh, Uttar Pradesh)",06/2021,06/2021,03/2025,03/2027,491.67,491.67,230.32,45,Cumulative
111,400165,SUBHADRA OCP,(Mahanadi Coalfields Limited [MCL]),Odisha,05/2021,05/2021,04/2032,-,1693.81,1693.81,1321.15,42,Cumulative
112,400166,SIARMAL OCP,(Mahanadi Coalfields Limited [MCL]),Odisha,02/2021,02/2021,03/2029,-,5194.95,5194.95,3456.05,55,Cumulative
113,400183,BALARAM EXPANSION OCP,(Mahanadi Coalfields Limited (MCL)),Odisha,06/2020,08/2020,03/2029,-,3504.21,3504.21,1028.92,52,Cumulative
114,400185,GOPALJI KANIHA OCP [10 TO 30 M,(MCL - CIL),Odisha,04/2022,04/2022,03/2030,-,8416.19,6107.87,1708.88,17,Cumulative
115,400187,INTEGRATED LAKHANPUR-BELPAHAR-,(Mahanadi Coalfields Limited [MCL]),Odisha,05/2018,05/2018,03/2027,-,2434.75,2434.75,1813.26,69,Cumulative
116,400392,BHARATPUR RE-ORGANIZATION OCP,(Mahanadi Coalfields Limited (MCL)),Odisha,11/2018,11/2018,03/2029,-,2838.86,2838.86,1748.41,47,Cumulative
117,615193,BASUNDHARA WEST EXTENSION OPEN,(MCL - CIL),Odisha,05/2014,05/2014,03/2019,03/2029,479.15,479.15,281.01,64,Cumulative
118,615857,Naini Coal Mine,(Singareni Collieries Company Limited [SCCL]),Odisha,03/2020,03/2020,03/2026,-,494.3,494.3,491.33,80,Cumulative
119,616226,INTEGRATED KULDA GARJANBAHAL O,(Mahanadi Coalfields Limited (MCL)),Odisha,04/2023,04/2023,03/2033,-,3563.5,3563.5,540.62,4,Cumulative
120,616231,BHUBANESWARI EXPN OCP 50 MTY,(MCL - CIL),Odisha,03/2024,03/2024,03/2033,-,5366.27,5366.27,465.31,14,Cumulative
121,616232,HINGULA II OC EXPN PH III 15 M,(MCL - CIL),Odisha,11/2022,11/2022,03/2029,-,1561.85,1561.85,269.61,23,Cumulative
122,616233,BALABHADRA OCP,(MCL - CIL),Odisha,04/2023,04/2023,03/2030,-,978.44,978.44,211.37,11,Cumulative
123,615818,Jawahar Khani Open Cast Mine,(Singareni Collieries Company Limited [SCCL]),Telangana,12/2021,12/2021,03/2025,03/2027,297.88,297.88,46.39,20,Cumulative
124,615858,Kalyanikhani Opencast Project,(Singareni Collieries Company Limited [SCCL]),Telangana,03/2016,05/2017,03/2026,-,384.32,384.32,281.83,75,Cumulative
125,615859,Kakathiya Khani Opencast - III Project Phase - I,(Singareni Collieries Company Limited [SCCL]),Telangana,03/2017,05/2017,03/2026,-,413.84,413.84,397.55,79,Cumulative
126,615860,Godavarikhani Coal Mine - 5,(Singareni Collieries Company Limited [SCCL]),Telangana,07/2019,05/2019,03/2025,03/2026,607.04,607.04,188.15,71,Cumulative
127,615861,Indaram Opencast Project,(Singareni Collieries Company Limited [SCCL]),Telangana,08/2017,12/2022,03/2025,03/2026,424.81,424.81,402.64,80,Cumulative
128,615862,Goleti Opencast Mine,(Singareni Collieries Company Limited [SCCL]),Telangana,07/2021,08/2021,03/2026,-,345.6,345.6,74.59,20,Cumulative
129,615863,Venkatesh Khani Coal Mine,(Singareni Collieries Company Limited [SCCL]),Telangana,10/2020,06/2020,03/2026,-,484.5,484.5,460.67,95,Cumulative
130,615864,Ramagundam OC-II Extension Project,(Singareni Collieries Company Limited [SCCL]),Telangana,11/2015,06/2015,03/2026,-,489.62,489.62,405.54,77,Cumulative
131,615865,Kakatiyakhani OC - 2 Project,(Singareni Collieries Company Limited [SCCL]),Telangana,08/2017,09/2017,03/2025,03/2026,442.42,442.42,205,63,Cumulative
132,400173,MOHANPUR EXPANSION OC -PHASE II,(Eastern Coal Fields Limited [ECL]),West Bengal,11/2020,11/2020,03/2026,-,888.99,888.99,93,30,Cumulative
133,400180,BONJEMEHARI EXPANSION OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,08/2021,08/2021,03/2026,03/2026,570.11,570.11,81.95,16,Cumulative
134,400181,NAKRAKONDA KUMARDIH- B OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,08/2018,08/2018,03/2029,-,502.68,502.67,67.61,26,Cumulative
135,400182,SIDULI [OC & UG],(ECL - CIL),West Bengal,05/2018,05/2018,03/2027,-,535.18,535.17,5.05,14,Cumulative
136,400186,TILABONI UG,(Eastern Coal Fields Limited [ECL]),West Bengal,01/2023,03/2023,03/2029,03/2029,749.08,749.08,52.18,10,Cumulative
137,400312,JHANJRA EXPANSION UG,(Eastern Coal Fields Limited [ECL]),West Bengal,04/2020,04/2020,03/2029,-,1210.12,1210.12,527.67,41,Cumulative
138,400315,SONEPUR BAZARI EXPANSION OCP [12 MTY],(Eastern Coal Fields Limited [ECL]),West Bengal,07/2021,07/2021,03/2029,-,5365.88,5365.88,565.26,17,Cumulative
139,611016,2.0 MTPA BHOJUDIH NLW WASHERY,(Ministry of Coal),West Bengal,12/2015,03/2019,09/2020,10/2025,384.57,384.57,353.21,97,Cumulative
140,612816,ITAPARA OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,12/2023,12/2023,03/2030,-,929.1,929.1,67.6,7,Cumulative
141,613793,SHYAMSUNDARPUR UG INCLUDING SA,(Eastern Coal Fields Limited [ECL]),West Bengal,04/2020,04/2020,03/2026,-,483.65,483.65,59.04,12,Cumulative
142,613794,PARASEA-BELBAID UG PROJECT,(Eastern Coal Fields Limited [ECL]),West Bengal,01/2023,01/2023,03/2028,-,389.1,389.1,131.42,17,Cumulative
143,616230,PARASCOLE JAMBAD OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,11/2024,11/2024,03/2037,-,1193.55,1193.55,9.46,0,Cumulative
144,617299,50 MW Wind Power Project,(NLC India Limited [NLCIL]),Gujarat,07/2022,02/2024,06/2025,01/2026,383.84,383.84,303.5,41,Electricity Generation
145,400231,NLC Talabira Thermal Power Project,(NLC India Limited [NLCIL]),Odisha,NA,01/2024,03/2030,-,27212.96,27213,1953.52,1,Electricity Generation
146,612819,300 MW SPP part of 510 MW CPSU scheme,(NLC India Limited [NLCIL]),Rajasthan,NA,03/2023,09/2024,09/2025,1813,1813,874.14,70,Electricity Generation
147,615327,50 MW Solar PP Minedout Area,(NLC India Limited [NLCIL]),Tamil Nadu,NA,02/2024,03/2025,09/2025,218.03,218.03,161.73,50,Cumulative
148,400259,Ghatampur Thermal Power Plant 3 X 660 MW,(NLC India Limited [NLCIL]),Uttar Pradesh,NA,08/2016,11/2020,10/2025,17237.8,21780.9,20269.54,92,Cumulative
149,400203,Dharamjaigarh-Korba,(Railway),Chhattisgarh,05/2018,03/2017,12/2026,08/2026,1686.22,1686.22,347.96,41,23562.43
150,400416,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],(Ministry of Coal),Jharkhand,02/2018,05/2022,06/2025,-,1799.64,1799.64,1293.71,60,23562.43
151,400192,Tubed Coal Mine,(Damodar Valley Corporation),Jharkhand,NA,10/2016,05/2026,05/2026,1581,1581,596.94,34,Coal
152,603293,Badam Coal Mining project of NTPC,(National Thermal Power Corporation [NTPC]),Jharkhand,02/2019,09/2019,12/2056,04/2027,502,784,313.88,59,Coal
153,602182,Dibang Multipurpose Project,(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]),Arunachal Pradesh,02/2023,02/2023,02/2032,02/2032,31876.39,31876.4,3553.9,16,Electricity Generation
